,Specified Values,Specified Attribute Names,eventStatus,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
684,"2, 2, 0","N17, N64, N97","47.3275,62.6725",1.0,1.00000000000145,1,348.3279803574188,49505,49505,0.03,0.0010512565547335,1,1,True
342,"2, 2, 0, 0","N17, N64, N67, N97","47.3275,62.6725",1.0,1.00000000000145,1,348.3279803574188,49505,45505,0.04,0.0010512565547335,6,6,True
666,"1, 2, 0, 2, 1","N9, N10, N84, M0P5, M0P6","81.90180536330581,86.47639189065158",1.0,0.9999323621477088,1,367.0405932044434,49310,49310,0.05,0.0011077313658912,1,2,True
507,"1, 0, 2, 0, 0, 0","N3, N19, N68, N70, N95, M0P6","82.85047247875899,109.10946613932475",1.0,0.9994468950454176,1,327.56673522214703,49700,47697,0.06,0.0009885989553913,10,11,True
405,"1, 0, 0, 2, 0, 0, 0","N3, N19, N61, N68, N70, N95, M0P6","82.85047247875899,109.10946613932475",1.0,0.9994468950454176,1,327.1366796538956,49700,46500,0.07,0.0009873010443405,15,16,True
568,"1, 2, 0, 0, 2","N9, N25, N28, N84, M0P5","81.90180536330581,87.1675",1.0,0.9992487507101288,1,369.5388971566189,49929,48329,0.05,0.0011152712666558,12,12,True
353,"1, 0, 2, 0, 1, 0, 0","N3, N19, N68, N70, N84, N85, M0P6","82.85047247875899,109.10946613932475",1.0,0.9992263946047836,1,321.7818490517232,49700,45700,0.07,0.0009711401239222,6,6,True
303,"1, 0, 0, 2, 0, 0, 0","N3, N19, N46, N68, N70, N95, M0P6","82.85047247875899,109.10946613932475",1.0,0.9991620034917176,1,332.8417165460299,49700,44900,0.07,0.0010045188900665,14,14,True
185,"1, 0, 2, 0, 1, 0","N3, N19, N68, N70, N84, M0P6","82.85047247875899,109.10946613932475",1.0,0.9991620034917176,1,332.6599878898015,49700,42097,0.06,0.0010039704315682,21,21,True
90,"1, 0, 2, 0, 1, 0, 0","N3, N19, N68, N70, N84, N95, M0P6","82.85047247875899,109.10946613932475",1.0,0.9991620034917176,1,332.6477917128062,49700,38897,0.07,0.0010039336234111,29,29,True
