times,me_f100_maf0.2,me_f100_maf0.2_ci_lower,me_f100_maf0.2_ci_upper,me_f100_maf0.2,me_f100_maf0.2_ci_lower,me_f100_maf0.2_ci_upper,me_f100_maf0.2,me_f100_maf0.2_ci_lower,me_f100_maf0.2_ci_upper,me_f100_maf0.4,me_f100_maf0.4_ci_lower,me_f100_maf0.4_ci_upper,me_f100_maf0.4,me_f100_maf0.4_ci_lower,me_f100_maf0.4_ci_upper,me_f100_maf0.4,me_f100_maf0.4_ci_lower,me_f100_maf0.4_ci_upper,me_f1000_maf0.2,me_f1000_maf0.2_ci_lower,me_f1000_maf0.2_ci_upper,me_f1000_maf0.2,me_f1000_maf0.2_ci_lower,me_f1000_maf0.2_ci_upper,me_f1000_maf0.2,me_f1000_maf0.2_ci_lower,me_f1000_maf0.2_ci_upper,me_f1000_maf0.4,me_f1000_maf0.4_ci_lower,me_f1000_maf0.4_ci_upper,me_f1000_maf0.4,me_f1000_maf0.4_ci_lower,me_f1000_maf0.4_ci_upper,me_f1000_maf0.4,me_f1000_maf0.4_ci_lower,me_f1000_maf0.4_ci_upper,me_f10000_maf0.2,me_f10000_maf0.2_ci_lower,me_f10000_maf0.2_ci_upper,me_f10000_maf0.2,me_f10000_maf0.2_ci_lower,me_f10000_maf0.2_ci_upper,me_f10000_maf0.2,me_f10000_maf0.2_ci_lower,me_f10000_maf0.2_ci_upper,me_f10000_maf0.4,me_f10000_maf0.4_ci_lower,me_f10000_maf0.4_ci_upper,me_f10000_maf0.4,me_f10000_maf0.4_ci_lower,me_f10000_maf0.4_ci_upper,me_f10000_maf0.4,me_f10000_maf0.4_ci_lower,me_f10000_maf0.4_ci_upper,epi_f100_maf0.2,epi_f100_maf0.2_ci_lower,epi_f100_maf0.2_ci_upper,epi_f100_maf0.2,epi_f100_maf0.2_ci_lower,epi_f100_maf0.2_ci_upper,epi_f100_maf0.2,epi_f100_maf0.2_ci_lower,epi_f100_maf0.2_ci_upper,epi_f100_maf0.4,epi_f100_maf0.4_ci_lower,epi_f100_maf0.4_ci_upper,epi_f100_maf0.4,epi_f100_maf0.4_ci_lower,epi_f100_maf0.4_ci_upper,epi_f100_maf0.4,epi_f100_maf0.4_ci_lower,epi_f100_maf0.4_ci_upper,epi_f1000_maf0.2,epi_f1000_maf0.2_ci_lower,epi_f1000_maf0.2_ci_upper,epi_f1000_maf0.2,epi_f1000_maf0.2_ci_lower,epi_f1000_maf0.2_ci_upper,epi_f1000_maf0.2,epi_f1000_maf0.2_ci_lower,epi_f1000_maf0.2_ci_upper,epi_f1000_maf0.4,epi_f1000_maf0.4_ci_lower,epi_f1000_maf0.4_ci_upper,epi_f1000_maf0.4,epi_f1000_maf0.4_ci_lower,epi_f1000_maf0.4_ci_upper,epi_f1000_maf0.4,epi_f1000_maf0.4_ci_lower,epi_f1000_maf0.4_ci_upper,epi_f10000_maf0.2,epi_f10000_maf0.2_ci_lower,epi_f10000_maf0.2_ci_upper,epi_f10000_maf0.2,epi_f10000_maf0.2_ci_lower,epi_f10000_maf0.2_ci_upper,epi_f10000_maf0.2,epi_f10000_maf0.2_ci_lower,epi_f10000_maf0.2_ci_upper,epi_f10000_maf0.4,epi_f10000_maf0.4_ci_lower,epi_f10000_maf0.4_ci_upper,epi_f10000_maf0.4,epi_f10000_maf0.4_ci_lower,epi_f10000_maf0.4_ci_upper,epi_f10000_maf0.4,epi_f10000_maf0.4_ci_lower,epi_f10000_maf0.4_ci_upper,het_f100_maf0.2,het_f100_maf0.2_ci_lower,het_f100_maf0.2_ci_upper,het_f100_maf0.2,het_f100_maf0.2_ci_lower,het_f100_maf0.2_ci_upper,het_f100_maf0.2,het_f100_maf0.2_ci_lower,het_f100_maf0.2_ci_upper,het_f100_maf0.4,het_f100_maf0.4_ci_lower,het_f100_maf0.4_ci_upper,het_f100_maf0.4,het_f100_maf0.4_ci_lower,het_f100_maf0.4_ci_upper,het_f100_maf0.4,het_f100_maf0.4_ci_lower,het_f100_maf0.4_ci_upper,het_f1000_maf0.2,het_f1000_maf0.2_ci_lower,het_f1000_maf0.2_ci_upper,het_f1000_maf0.2,het_f1000_maf0.2_ci_lower,het_f1000_maf0.2_ci_upper,het_f1000_maf0.2,het_f1000_maf0.2_ci_lower,het_f1000_maf0.2_ci_upper,het_f1000_maf0.4,het_f1000_maf0.4_ci_lower,het_f1000_maf0.4_ci_upper,het_f1000_maf0.4,het_f1000_maf0.4_ci_lower,het_f1000_maf0.4_ci_upper,het_f1000_maf0.4,het_f1000_maf0.4_ci_lower,het_f1000_maf0.4_ci_upper,het_f10000_maf0.2,het_f10000_maf0.2_ci_lower,het_f10000_maf0.2_ci_upper,het_f10000_maf0.2,het_f10000_maf0.2_ci_lower,het_f10000_maf0.2_ci_upper,het_f10000_maf0.2,het_f10000_maf0.2_ci_lower,het_f10000_maf0.2_ci_upper,het_f10000_maf0.4,het_f10000_maf0.4_ci_lower,het_f10000_maf0.4_ci_upper,het_f10000_maf0.4,het_f10000_maf0.4_ci_lower,het_f10000_maf0.4_ci_upper,het_f10000_maf0.4,het_f10000_maf0.4_ci_lower,het_f10000_maf0.4_ci_upper,add_f100_maf0.2,add_f100_maf0.2_ci_lower,add_f100_maf0.2_ci_upper,add_f100_maf0.2,add_f100_maf0.2_ci_lower,add_f100_maf0.2_ci_upper,add_f100_maf0.2,add_f100_maf0.2_ci_lower,add_f100_maf0.2_ci_upper,add_f100_maf0.4,add_f100_maf0.4_ci_lower,add_f100_maf0.4_ci_upper,add_f100_maf0.4,add_f100_maf0.4_ci_lower,add_f100_maf0.4_ci_upper,add_f100_maf0.4,add_f100_maf0.4_ci_lower,add_f100_maf0.4_ci_upper,add_f1000_maf0.2,add_f1000_maf0.2_ci_lower,add_f1000_maf0.2_ci_upper,add_f1000_maf0.2,add_f1000_maf0.2_ci_lower,add_f1000_maf0.2_ci_upper,add_f1000_maf0.2,add_f1000_maf0.2_ci_lower,add_f1000_maf0.2_ci_upper,add_f1000_maf0.4,add_f1000_maf0.4_ci_lower,add_f1000_maf0.4_ci_upper,add_f1000_maf0.4,add_f1000_maf0.4_ci_lower,add_f1000_maf0.4_ci_upper,add_f1000_maf0.4,add_f1000_maf0.4_ci_lower,add_f1000_maf0.4_ci_upper,add_f10000_maf0.2,add_f10000_maf0.2_ci_lower,add_f10000_maf0.2_ci_upper,add_f10000_maf0.2,add_f10000_maf0.2_ci_lower,add_f10000_maf0.2_ci_upper,add_f10000_maf0.2,add_f10000_maf0.2_ci_lower,add_f10000_maf0.2_ci_upper,add_f10000_maf0.4,add_f10000_maf0.4_ci_lower,add_f10000_maf0.4_ci_upper,add_f10000_maf0.4,add_f10000_maf0.4_ci_lower,add_f10000_maf0.4_ci_upper,add_f10000_maf0.4,add_f10000_maf0.4_ci_lower,add_f10000_maf0.4_ci_upper
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.21472055738360898,0.17395136261050523,0.263041288245806,0.1880841548348055,0.13121051589940963,0.2554923000151479,0.21215866847986567,0.13176925133833362,0.307438337638981,0.004985399583048633,0.004866732143932528,0.005126047379002121,0.02769213050630994,0.010203170606611408,0.04842050959440036,0.04590266963553178,0.010762536020917278,0.0875516879274906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056952855464696125,0.03184351834873578,0.08671310772528121,0.2504156343379892,0.21842527038967213,0.28833146208816474,0.1121275390723296,0.06025054197951163,0.17361353182769246,0.1535551172856951,0.12344930729271707,0.18923732170879667,0.009057050231419703,-0.0024474263566319817,0.022692460987396506,0.01186748765236835,0.0012069216829444923,0.02450267316226382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01282366891394061,0.005046468223484047,0.022041413427078924,0.044227765411488394,0.02273383758982534,0.06970293869421547,0.024879491789092295,0.009996523839335476,0.0425191801060503,0.059557620775063956,0.03675048742480947,0.08658924007707024,0.004988470240239799,0.004974694053918668,0.005005621453893924,0.0012599952811366405,-0.0030877501719695924,0.0065253765053857795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004990663142238134,0.004974277646145514,0.005011816726733488,0.0,0.0,0.0,0.0,0.0,0.0,0.0049916612964125175,0.0049734450921023144,0.005015178315054027,0.007466376438827381,-0.0034865855987531898,0.02073107219542626,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.2356169133867553,0.1989018814105239,0.27913254298390505,0.20503432536263388,0.15586668779922044,0.26330911335033097,0.2402940762984948,0.14673749072690645,0.3511798226800553,0.010810327833609343,0.007018551791986105,0.01530444135772236,0.04077797021757202,0.017194611009983127,0.0687295929915448,0.07135400854897844,0.0394335871751918,0.10918693850491246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05799370292273019,0.03151252734678531,0.08937989450785291,0.2594772251278091,0.23407482232710225,0.28958482661018753,0.1421216337590166,0.08873104343381269,0.2054015773545666,0.2248052249348537,0.17767723878964858,0.28066256396923067,0.032450108662858815,0.019783459091493573,0.04746295766000144,0.014124459568700592,0.005103783834456805,0.0248160036812448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05602118134117769,0.031227538068661236,0.08540726488617241,0.051414859313536856,0.033080964246091235,0.07314467797049626,0.06618087289660539,0.034908192777330566,0.10324608273930685,0.11462044936004316,0.08494143157859703,0.14979680833531855,0.004988470240239799,0.004974694053918668,0.005005621453893924,0.0025148856877776076,-0.0024755233279616534,0.008558571137215323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004990663142238134,0.004974277646145514,0.005011816726733488,0.0,0.0,0.0,0.0,0.0,0.0,0.0049916612964125175,0.0049734450921023144,0.005015178315054027,0.011884002426286672,-0.000994413546582567,0.027147842578630663,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.25603470386581473,0.22757927107901377,0.2897608374554203,0.22918916858589458,0.18287759626106526,0.2840788723087058,0.255152354830106,0.1567853362627937,0.3717395539730136,0.014649756557832613,0.004541610931286768,0.026630198826916737,0.057170586510527886,0.02872293907464213,0.0908874926957578,0.07636022735907731,0.044739653234695115,0.11383777040293525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05902318927747134,0.03077667793546891,0.0925017036300124,0.2632291222784514,0.24239736124133626,0.2879194779271757,0.1499899558742012,0.09913037865449811,0.21027007561352232,0.24224066639593866,0.2058187165794209,0.285408927244727,0.03956808348284166,0.027943363885210834,0.05334600944266957,0.018607954521856748,0.0038301577759929685,0.03612299113877378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1451766458479951,0.13292921738929378,0.15969262286447874,0.05842136119050417,0.031832889478395104,0.08993472300174976,0.09467819577996356,0.06135700009254609,0.13417136060156845,0.1565257810270999,0.12054934938211814,0.19916600192364442,0.008956073123754016,-0.004138477000114804,0.024476081203836184,0.003043095020588937,-0.001836314800993234,0.008826300945239167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004990663142238134,0.004974277646145514,0.005011816726733488,0.002514098634744928,-0.002507955352046622,0.008997542452944339,0.0,0.0,0.0,0.0049916612964125175,0.0049734450921023144,0.005015178315054027,0.02330736772477238,0.011280115398342746,0.037562386150119004,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.26869430749235645,0.24410481056950517,0.29783843136967636,0.24461653659899785,0.20298295474981154,0.29396176194769624,0.25490491722639547,0.1567016761047245,0.37129800299727855,0.01830474828722609,0.0025730150751307156,0.03695041570273867,0.07357664374820073,0.03850702550214803,0.11514208535524129,0.08057578102373983,0.038450931582832644,0.13050326975078008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06217083835556443,0.032997315130068594,0.09674807177718786,0.2638773004591082,0.24394531114433726,0.2875012228001652,0.15262760788109603,0.09893980798437949,0.21625981214293238,0.2596045480374326,0.2357868708087058,0.28783389074427584,0.0477707722631296,0.025961055242166884,0.07362022727973616,0.019787757795479262,0.004974850393678114,0.037344408492963416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23138147615005553,0.209503329857523,0.2573120353541012,0.06470230905775984,0.04536385985526519,0.08762275191680023,0.10367931453982693,0.06725858672764565,0.14684612703666758,0.1711239904146446,0.12780730807316654,0.22246407110337824,0.0207051535544827,-0.00012816003290050393,0.04539734932695902,0.006155804045654694,-0.0013132927426093791,0.015008375642862433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004990663142238134,0.004974277646145514,0.005011816726733488,0.0033372923125688796,-0.0013650201219207853,0.00919162408134591,0.0,0.0,0.0,0.0049916612964125175,0.0049734450921023144,0.005015178315054027,0.03639578724685898,0.01559514758518869,0.061049257016053356,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.2720016848869454,0.2554790691564608,0.2915847272378079,0.2600956632646507,0.23245376891934397,0.2928575695179973,0.25483415818310806,0.15664512728048838,0.3712104016255102,0.02892457308807895,0.020673106795870644,0.03870442977014738,0.07839606573457913,0.03863943991837293,0.1255166730152837,0.0826954144136668,0.037696922729801845,0.13602882013732653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06842751283167908,0.035879856679284276,0.10700385808176383,0.266997828892675,0.2414716860073125,0.2972520904050292,0.15245487070900393,0.09811221314426621,0.21686322964609456,0.267828481456862,0.251359807307621,0.2873475908150799,0.05632384138093617,0.03602636167504765,0.08038095262651297,0.019781282904107318,0.0049626845332009055,0.03734467868910206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25501174822199174,0.22820270325332812,0.2867865393066063,0.07326051748352598,0.05672960727667573,0.09285339066775014,0.1096191576771354,0.06341892771288184,0.1643768954813435,0.1716699610972931,0.1275852692324595,0.22392030704106064,0.030487418784846787,0.005786823134860057,0.059763219819955096,0.006154855937413904,-0.0013204400451745152,0.015014774984140238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004981762120110796,0.004943471763026615,0.005028134045384573,0.006259571933986512,0.0019567734041417064,0.011470519730984428,0.0016699267521052602,-0.0030395082675446763,0.007533126067894641,0.004980869049571377,0.004942662215006737,0.005028436175000051,0.045403394946679984,0.027083940858445003,0.06711609777209776,0.0012749022153794927,-0.0031143929835065892,0.00659060268063784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.27495860657930254,0.25323892846568524,0.3007013450950516,0.26516365103826656,0.24471853474377905,0.28939574508403865,0.2540631412525408,0.15581476564388458,0.3705097216143854,0.10932489429336952,0.08292218829336606,0.1406180816560385,0.0760191496931101,0.032703299084468666,0.12735824459002784,0.08149136464708809,0.03861411631975925,0.13231061648826725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07143731670324058,0.03887634921293207,0.11002943890404321,0.2670581784045014,0.2415920657388297,0.29724129050845016,0.1533450036553849,0.1015613647134185,0.2147203458544589,0.2727516354781261,0.2565575795834305,0.29194525999805887,0.06430272616257356,0.04104240124551417,0.0918714801283982,0.020896406276442677,0.004967199256888516,0.039776124885648315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2521530644919142,0.2266781390972563,0.28234662167597485,0.0765921899880015,0.056461076397633106,0.10045211970136074,0.10963496158799409,0.06346971473802283,0.1643512364773871,0.1716699610972931,0.1275852692324595,0.22392030704106064,0.0401243524512684,0.018653317518581757,0.06557239247485107,0.010447747461609699,0.0012945031440723277,0.021296415374851045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006232605493935161,0.001929860601899285,0.011443488332320596,0.00625960530169388,0.001956845544514036,0.011470506142662675,0.0016699267521052602,-0.0030395082675446763,0.007533126067894641,0.004980869049571377,0.004942662215006737,0.005028436175000051,0.0592918129866466,0.0250951430387703,0.0998226131197127,0.004085623512117919,8.275569025877755e-05,0.008829928612414096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.2740980835412289,0.251081515512289,0.3013779303787135,0.26439581651530625,0.24348786712556295,0.2891764726201143,0.257000737451233,0.14803771190065512,0.3861466050815083,0.16151872202491874,0.15159708659452759,0.17327810746318725,0.08106316050807169,0.03881365944348772,0.13113838964531,0.08176623154944969,0.043444539110853525,0.12718611773594168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07769520188288642,0.039273122109929094,0.12323406980037985,0.26696385897815433,0.24159096457046583,0.2970364863305518,0.1532376708061039,0.10123626039937564,0.21487112152060944,0.27579195244524624,0.2592813403950252,0.29536076771591735,0.06814410233372273,0.05085923775823416,0.08863058223086104,0.022065370824858085,0.0026998479856285215,0.04501790207616154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24362496455040933,0.21531099372289716,0.2771834336742319,0.0834722475211464,0.061346612319261154,0.10969613714407253,0.10958509301002217,0.0633092546708385,0.16443244386536507,0.1716699610972931,0.1275852692324595,0.22392030704106064,0.05002442597335841,0.032661046082900914,0.07060396430405885,0.012678591012705053,0.0022938098224140335,0.024986909088437714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007475772757057757,0.0025648741619271054,0.013423166305251432,0.007040746469588309,0.0021723302104474764,0.012810922532478917,0.0012534311848350706,-0.0030727341314580434,0.006492677565538724,0.004966932881139013,-0.001973885725814796,0.013372681646367075,0.0603473716208055,0.023434627371302953,0.10409733504765328,0.004086168841732938,8.349376181586866e-05,0.00883024549916777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.2747416131242015,0.2536780262392989,0.29970673491584765,0.2619022312218318,0.23186579744259506,0.2975022091165193,0.255557650458935,0.1436215092433174,0.3882273336237606,0.1247030663475435,0.11515463419291969,0.13602012136585628,0.0812240557921837,0.048445524787888924,0.12007404003964367,0.08171232248697091,0.043124646269021405,0.1274474597027602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08507427035698596,0.044074004471904106,0.13366887282920772,0.26548288317868074,0.24097273581081952,0.2945329598590411,0.1532746838534093,0.10133725902122957,0.21483229716803418,0.2777751608854345,0.2591099540772068,0.29989765900410303,0.07368328040059999,0.05503536795119128,0.09578528078654217,0.02206857732568935,0.0026956315171772043,0.04502990647704695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2392581088753571,0.20990326953458224,0.27405024296539293,0.08444990753552997,0.06067461783477947,0.11262901142007964,0.10958509301002217,0.0633092546708385,0.16443244386536507,0.1717675288448594,0.12810340787733054,0.2235194030074148,0.06264461923617715,0.03946670218958505,0.09011570120843072,0.016113725114039475,-0.000963537232788584,0.036354149344066236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009957560195225281,0.003025452612621056,0.018352759386070717,0.0070408135342217865,0.002172506659021682,0.012810859952364934,0.0012534311848350706,-0.0030727341314580434,0.006492677565538724,0.004974232103197935,-0.005732534330409145,0.01766417562850015,0.061250751958193086,0.026193956608874407,0.10280099552795556,0.00408603181399563,8.349924484088184e-05,0.008829939563895509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.2730421696403674,0.24838908136965082,0.3022616636696481,0.25506156656511964,0.21273316601562142,0.3052303094643276,0.24743107261660527,0.14017535423848293,0.37455339450754344,0.1247030663475435,0.11515463419291969,0.13602012136585628,0.08361758562526804,0.05450199837505444,0.11812615179249922,0.08320100190170188,0.03884145506522101,0.13577711324714142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08825848540968391,0.045410464078766574,0.13904309663960324,0.265798204517561,0.24139467097366168,0.2947219196663157,0.15383407961403,0.10599742608950383,0.21053135002055132,0.27820716770002724,0.2653972615570433,0.29338980818508015,0.08063270530840363,0.05677645060104969,0.10890777106600757,0.02206857732568935,0.0026956315171772043,0.04502990647704695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2379696141417456,0.20790264683863,0.2736057811786969,0.08444210642887257,0.06066637191541231,0.11262173751724246,0.10958509301002217,0.0633092546708385,0.16443244386536507,0.1717675288448594,0.12810340787733054,0.2235194030074148,0.07614200082835162,0.06231989344255798,0.09252432907040814,0.020849250344491234,-0.004394694303686129,0.05076904302211133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008980651666538495,0.0016597726911969325,0.017657551581068385,0.008060056456241301,0.0031863678739400833,0.013836481416365946,0.0012534360920634481,-0.0030727235550200563,0.006492675607013308,0.005984055286664951,-0.008407649858155017,0.02304148589870448,0.061250751958193086,0.026193956608874407,0.10280099552795556,0.005124624692260978,-0.001154974443435531,0.012567372125640703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
