,times,b_scores_add_f10000_maf0.2_cens0.1,b_scores_add_f10000_maf0.2_cens0.4,b_scores_add_f10000_maf0.2_cens0.8,b_scores_add_f10000_maf0.4_cens0.1,b_scores_add_f10000_maf0.4_cens0.4,b_scores_add_f10000_maf0.4_cens0.8,b_scores_add_f1000_maf0.2_cens0.1,b_scores_add_f1000_maf0.2_cens0.4,b_scores_add_f1000_maf0.2_cens0.8,b_scores_add_f1000_maf0.4_cens0.1,b_scores_add_f1000_maf0.4_cens0.4,b_scores_add_f1000_maf0.4_cens0.8,b_scores_add_f100_maf0.2_cens0.1,b_scores_add_f100_maf0.2_cens0.4,b_scores_add_f100_maf0.2_cens0.8,b_scores_add_f100_maf0.4_cens0.1,b_scores_add_f100_maf0.4_cens0.4,b_scores_add_f100_maf0.4_cens0.8,b_scores_epi_f10000_maf0.2_cens0.1,b_scores_epi_f10000_maf0.2_cens0.4,b_scores_epi_f10000_maf0.2_cens0.8,b_scores_epi_f10000_maf0.4_cens0.1,b_scores_epi_f10000_maf0.4_cens0.4,b_scores_epi_f10000_maf0.4_cens0.8,b_scores_epi_f1000_maf0.2_cens0.1,b_scores_epi_f1000_maf0.2_cens0.4,b_scores_epi_f1000_maf0.2_cens0.8,b_scores_epi_f1000_maf0.4_cens0.1,b_scores_epi_f1000_maf0.4_cens0.4,b_scores_epi_f1000_maf0.4_cens0.8,b_scores_epi_f100_maf0.2_cens0.1,b_scores_epi_f100_maf0.2_cens0.4,b_scores_epi_f100_maf0.2_cens0.8,b_scores_epi_f100_maf0.4_cens0.1,b_scores_epi_f100_maf0.4_cens0.4,b_scores_epi_f100_maf0.4_cens0.8,b_scores_het_f10000_maf0.2_cens0.1,b_scores_het_f10000_maf0.2_cens0.4,b_scores_het_f10000_maf0.2_cens0.8,b_scores_het_f10000_maf0.4_cens0.1,b_scores_het_f10000_maf0.4_cens0.4,b_scores_het_f10000_maf0.4_cens0.8,b_scores_het_f1000_maf0.2_cens0.1,b_scores_het_f1000_maf0.2_cens0.4,b_scores_het_f1000_maf0.2_cens0.8,b_scores_het_f1000_maf0.4_cens0.1,b_scores_het_f1000_maf0.4_cens0.4,b_scores_het_f1000_maf0.4_cens0.8,b_scores_het_f100_maf0.2_cens0.1,b_scores_het_f100_maf0.2_cens0.4,b_scores_het_f100_maf0.2_cens0.8,b_scores_het_f100_maf0.4_cens0.1,b_scores_het_f100_maf0.4_cens0.4,b_scores_het_f100_maf0.4_cens0.8,b_scores_me_f10000_maf0.2_cens0.1,b_scores_me_f10000_maf0.2_cens0.4,b_scores_me_f10000_maf0.2_cens0.8,b_scores_me_f10000_maf0.4_cens0.1,b_scores_me_f10000_maf0.4_cens0.4,b_scores_me_f10000_maf0.4_cens0.8,b_scores_me_f1000_maf0.2_cens0.1,b_scores_me_f1000_maf0.2_cens0.4,b_scores_me_f1000_maf0.2_cens0.8,b_scores_me_f1000_maf0.4_cens0.1,b_scores_me_f1000_maf0.4_cens0.4,b_scores_me_f1000_maf0.4_cens0.8,b_scores_me_f100_maf0.2_cens0.1,b_scores_me_f100_maf0.2_cens0.4,b_scores_me_f100_maf0.2_cens0.8,b_scores_me_f100_maf0.4_cens0.1,b_scores_me_f100_maf0.4_cens0.4,b_scores_me_f100_maf0.4_cens0.8
0,1.0,0.002503130286747957,0.0025031289111389,0.0746671526190429,0.0025031291697605236,0.0074917648732466,0.0,0.005,0.002509422110958869,0.14725924785803882,0.01389802508619764,0.008355649003693167,0.0,0.005,0.0025031289111389,0.0,0.005,0.004995954100233027,0.0025031289111389,0.0050000000000565495,0.002501294857953471,0.010640127420806306,0.06593114943317802,0.007050617503873259,0.002017654545737286,0.06847817720388087,0.11429528580311447,0.011965399797925125,0.01,0.1030454098752345,0.007899242084276921,0.066173508093649,0.0294256608606683,0.020752370261119157,0.0099856235027415,6.319644844988732e-09,0.002502997838927319,0.0589717019465681,0.0025078383135588717,0.0016729403627494357,0.0050000000007118,0.0049996465458902,0.02561512575970865,0.0049998396672603,0.012044291517322999,0.0461210807580411,0.02174409511106526,0.007494761200783025,0.005,0.558771773236415,0.005,0.0,0.0025031303241664854,0.0395670431415988,0.0025031622572129026,0.1971497008812208,0.1977393603248721,0.0010419215511704265,0.21457713917902818,2.755651629753976e-07,0.04301716188673892,0.0049997419113114,0.6388635609895967,0.0175904004862668,0.1559743521259617,0.0025031289116124638,0.0025053327272529053,0.03046852731352348,0.2480145810334898,0.189072673187582,0.0530526750061928,0.0049987880234579,0.0
1,2.0,0.0025031367101710847,0.0025031289111389,0.16970464974380334,0.002503129881980229,0.00997211248199965,0.0,0.005,0.002509422112203337,0.210523085551542,0.02261203147924,0.013379163469383233,0.0,0.005,0.0025031289111389,1.3474392239569752e-06,0.005,0.014839838373601779,0.0025031289111861065,0.00500000000021235,0.0025324132332731593,0.010640196870940546,0.07228920041618211,0.02955612230329726,0.0030303451810953725,0.07426518298773263,0.16797300938726198,0.013518238417842275,0.0099997024414609,0.10951044984609323,0.00795628448837515,0.06516625601778926,0.0342068930665472,0.0205612172767486,0.009923261688438966,3.9523944822889477e-07,0.00166853985622819,0.1319376629410862,0.003010062254965352,0.0020113311673649534,0.006666666669445667,0.00499931866866085,0.03884511611229495,0.0049995634614013,0.02107968559443294,0.08522889609518677,0.06979071580883003,0.00996644393218234,0.005,0.42488831932321125,0.005,0.0101010582894035,0.0025031342155119847,0.07262268057097848,0.0025032540891745123,0.2142580093044418,0.21792908488556106,0.00615535321200836,0.2573174657786809,0.002517737207570234,0.07897696961158643,0.00499942820864245,0.48151208768187975,0.06699939992909136,0.19205661899700094,0.0016687526086125613,0.002514482178749843,0.052052935093053976,0.2533064760621319,0.21077145783637197,0.07959366849050938,0.0049973156947132995,0.0
2,3.0,0.002503075022780192,0.0025031289111389,0.2568464594779907,0.002503130779073986,0.005981125700298397,0.0,0.005,0.005017273872822756,0.24684609762983162,0.029253111856192338,0.01912791183045616,0.0,0.005,0.0025031289111389,1.9372698757275705e-05,0.005,0.01944193416379894,0.0025031289114866876,0.00499997823129545,0.03231247580548352,0.010640291030471509,0.0796217553740075,0.030580734730659996,0.008202909649378306,0.07519237849245423,0.20444902522877734,0.016670505849840027,0.0149990338732928,0.11694367675241306,0.01071493361615655,0.07128889869087034,0.0379700867550572,0.022114088697549838,0.011532745392269866,0.0040117443758529315,0.0016684230503709544,0.18277186231689252,0.004013880494432851,0.0020113364261288564,0.006666666672595666,0.0049990587958312,0.06354689112743375,0.0049992303383706495,0.02105170501517834,0.11232809748721603,0.12909197019078228,0.01690127536059764,0.005,0.32954057236396855,0.005,0.01011712646626655,0.002503143149097745,0.10871575937558908,0.0025034435011563444,0.22587166010984383,0.2344638368567365,0.01437631447558738,0.25623270605760473,0.005034386730770721,0.14270764030278843,0.00499910722958345,0.3811050234871387,0.0867176592110168,0.21328831632315431,0.0016687526097090499,0.0020172684556996542,0.18691138436538113,0.252128854938818,0.25859282261653926,0.1409900497970302,0.004996366859942934,0.0
3,4.0,0.00500558842444791,0.0050031289111388995,0.33907719505274586,0.0025031314367406927,0.005964678077292069,0.0,0.005,0.007525141483013826,0.29100518888247984,0.04144777758493816,0.02523403057789056,0.0,0.005,0.0025031289111389,9.37212892605914e-05,0.005,0.025838171434181677,0.001668762838251826,0.00499994094874345,0.032095841489686486,0.012429513580687335,0.08790778293352208,0.035702239009512485,0.01028273927713637,0.0874968731686366,0.22342375295531136,0.021039340955158074,0.0149163902101506,0.12158189387878107,0.0134834603461499,0.07459255469934593,0.04173227173473724,0.02477818136637554,0.018355675973101074,0.005002181480208703,0.002504312483216209,0.21579095678064325,0.007023969732156655,0.004058820522246905,0.006666612843564634,0.00499890820041775,0.09439641801358506,0.004998897101757,0.023064273523534958,0.13472832582365135,0.178998275100157,0.018818732451280278,0.0025,0.2853113402676313,0.005,0.0101171268765514,0.0025031568504942482,0.1325664183250189,0.0025183536664142784,0.23563229463000995,0.24684309884002711,0.039403319226495405,0.2331714391022663,0.0060511200574055865,0.21661326056636426,0.0049988954096146666,0.3380223991205074,0.1155640674855618,0.22431009859371356,0.0016687526105128947,0.0030388421641253825,0.1989360250536644,0.24659198997288137,0.2968455377435343,0.152659377999134,0.004994665880372667,0.0
4,5.0,0.005004520357048102,0.0050031289111388995,0.39580445275482373,0.0025031314367406927,0.00994640221284496,0.0,0.005,0.008781446684289325,0.30682625895158205,0.05323843137378638,0.037523689602701235,0.0,0.005,0.0025031289111389,0.004106398362244825,0.005,0.03180981204704778,0.002007575076969198,0.0049855525143371,0.0319513992805185,0.0124295625135135,0.09063198467776368,0.03672949783360026,0.01132607358041731,0.09860659925084146,0.23090581729458046,0.026847666744611826,0.008258484950072099,0.1254491248966999,0.01845237803422575,0.07721084779336232,0.04456037016195958,0.025586878986368577,0.0452041100217359,0.004994702687848576,0.0025047156674024925,0.23047817825267133,0.007024055906752122,0.007157323150948515,0.0099997312972946,0.00499890820041775,0.11893780660370806,0.00749861764803505,0.02406435423415398,0.16163506019017587,0.20973241130887427,0.028568020407186923,0.0025,0.2819354553270557,0.005,0.01011712850670215,0.002503171509147776,0.15188379798589807,0.0017404528857303727,0.2444310936371362,0.2558740388644153,0.10463283084271466,0.2119782205128641,0.010049017315823614,0.2884155266331027,0.0049981216512455335,0.3322522492214852,0.14616408422696217,0.22342128026542132,0.0016687526105128947,0.003047383197827765,0.21057686739042253,0.23828514652886365,0.31103578938621124,0.168876898437258,0.0066567861896762665,0.0
5,6.0,0.005003915445570251,0.0050031289111388995,0.41889533694510706,0.0025031314367406927,0.01399906373251816,0.0,0.005,0.008781446686710775,0.31046607354435596,0.06093871749998603,0.04579994145496914,0.0,0.005,0.0025031289111389,0.008512346761980425,0.005,0.03430254596974524,0.0020076508689681983,0.007470007391129449,0.03187222006997868,0.0124296282799422,0.09145153040260759,0.03672940153172018,0.013411837768912738,0.10468437556211954,0.23644783598903327,0.0328733318463757,0.00744246764380455,0.13082197843409366,0.01846664591965175,0.07856193551306037,0.04933258716764198,0.027009604385684338,0.04829909781489808,0.006985073462562902,0.0025113124578600905,0.23949450253178992,0.009032883042921935,0.012339749323496772,0.009999320942713767,0.0049987499452479,0.14632295360537723,0.0074978594611989,0.02607336034721866,0.1756603323308392,0.23423220311216922,0.03804442053174658,0.0025,0.28071164275119165,0.005,0.010117132207586449,0.00500609579403345,0.16780274347928867,0.0026833102651381826,0.24530022470306173,0.2596319238084005,0.15451494498090643,0.19669239051826745,0.014008584295418399,0.3538389439217401,0.0037478989764971114,0.32559319713512924,0.16271237258059015,0.21713264197543394,0.0016687526105128947,0.0030658545005014873,0.2266017708866265,0.2305377754396008,0.31717693375826006,0.17182697529085486,0.006653637995203066,0.0
6,7.0,0.005003144067852628,0.0050031289111388995,0.43145178944655793,0.0025031314367406927,0.02490618856884198,0.0,0.005,0.008781446690954575,0.31353624256621215,0.06845364621130508,0.05830059319825408,0.0,0.005,0.0025031289111389,0.016825687054098523,0.005,0.04528747058669386,0.002007838700236798,0.00747112097770335,0.03382755710884407,0.012429701854797132,0.0953505965966833,0.03776100341011927,0.013411838158970096,0.11178853599018224,0.24075169365024754,0.03810124116462772,0.03485942908616492,0.13381942019689544,0.0240391400723763,0.08288141692933845,0.054029097882114366,0.030653379650982037,0.060210993418999915,0.0214143939255977,0.004035808985477908,0.24517595599173586,0.011044292450025429,0.014441677427990601,0.013332040233766567,0.003332321175887965,0.17144655926254593,0.0074961428726976,0.0260621132707221,0.18706428080413107,0.2458010868136617,0.047820582144680435,0.0025,0.27999041822590337,0.005,0.018023680876364752,0.005005760841558143,0.1757725353586902,0.006676258678197225,0.24569665414382974,0.25815057155881865,0.22213122895273602,0.18762550173401835,0.01890967955826086,0.40486351814139876,0.00599685614276826,0.32056948504145844,0.18400837799072575,0.20894031738033333,0.0016687526105128947,0.006052873989739331,0.23854312674253092,0.22157307925138006,0.31649336518941745,0.17323341954539906,0.0066492158779785674,0.0
7,8.0,0.006252683620902836,0.00500312910262265,0.4373868739148537,0.0025031314367406927,0.04056119068355378,0.0,0.005,0.008781446698958825,0.3150947840570208,0.0823548957475829,0.06349327336703432,0.0,0.005,0.002503117005834943,0.028315840149581398,0.0033333333333333335,0.0505763780728465,0.0020081670790039153,0.05241331348570168,0.03380207586839894,0.016024293270077133,0.09911089938295845,0.041887876256307056,0.013411838350239463,0.1148476176285432,0.24318442072866242,0.04332343411227248,0.0373191661070926,0.13602583905160698,0.02404385763512195,0.08261048456176243,0.056753839391336755,0.03063917610765992,0.06661426880128818,0.022182732030188418,0.0040695975444968,0.2480840205045481,0.011044221188843054,0.018639923361009562,0.0124982576652601,0.003332101474449676,0.1823320198543991,0.0074938657107749,0.02905982612404558,0.19552015426415484,0.24992111505688674,0.04950937081249432,0.0025,0.27944256970499043,0.005,0.01802369449246735,0.005005196378256475,0.1771856922542623,0.006964325708282525,0.24112640008425967,0.25609263413200634,0.2908732323392235,0.18252338257344064,0.023905726335183543,0.4451471690190779,0.00699524514597404,0.31502279231855984,0.19893598597321918,0.20111706125407966,0.0016687526105128947,0.006088387677445246,0.247644469041771,0.21570341941969534,0.31687496015378114,0.1743199010156883,0.0062329393149717725,0.0
8,9.0,0.006250897189358848,0.0050030670820788,0.4425478584192568,0.0024999112648184806,0.05561161057348592,0.0,0.005,0.01004910909788532,0.3168845273391023,0.09601240407488734,0.07085230830290778,0.0,0.005,0.002503099940627884,0.0334220876582682,0.0033333333333333335,0.058870074905210255,0.00403832857988113,0.05884840451089378,0.03473513886784856,0.01602438592496123,0.10102351643522214,0.04395545219164856,0.013411838615318528,0.11995135141575379,0.24471787505618564,0.044868953239845424,0.04068565983818784,0.13758799649765083,0.02681092039306665,0.08342054040373878,0.06793326173563632,0.030666023744921,0.07544712142364976,0.02368865298882784,0.009025676783363194,0.24984829454450655,0.01104410746496104,0.018639956248181922,0.013747322471058275,0.005001092317810593,0.19372087161489482,0.006660570451529066,0.03002362207788406,0.19917835291287725,0.2524141572982148,0.06013386040626598,0.0025,0.2790130464154908,0.005,0.018023712395503398,0.006675602939076573,0.1780687048069703,0.007537438821084875,0.23407353325094124,0.2549979734598506,0.3553880140762521,0.1787195961693001,0.041365943410256026,0.4749364953934375,0.00699168757696472,0.31288762302588735,0.20996636806989555,0.19527464438386577,0.0016687194835036752,0.01130008958502212,0.25268638356522,0.21272864887453452,0.3171412555935056,0.1760173465948188,0.007477680600857309,0.0
9,10.0,0.006000030355938322,0.0050029619220853,0.44033048306317013,0.0024958631364956343,0.07245983549836066,0.0,0.005,0.01004907539329626,0.3186551904470252,0.10652766796601672,0.08238504864546001,0.0,0.005,0.0025030845489155944,0.04063997418184,0.0050020885547201336,0.06725185770625583,0.004038649891071444,0.063267671334524,0.03459326662254926,0.017836558908407536,0.10193858513615428,0.0480851120723932,0.013411839314472835,0.12199577605713863,0.24603012538629612,0.04928270692285658,0.04321328083474952,0.139839537014974,0.02681374745704665,0.08418348882058391,0.07422642737373486,0.03069684462768314,0.07997298715358145,0.02538162845467682,0.009008387354048608,0.2514056167447466,0.0120441273637424,0.01863996099261516,0.014996905781314901,0.0049980409107365205,0.19879040356510022,0.006243077893392349,0.030978343971607602,0.2012272622231559,0.2533422667576518,0.0679052080291312,0.0025,0.27875003897750267,0.005,0.0180237314755705,0.006673146814828431,0.17900255823931058,0.011289738607637826,0.2208648643849085,0.25440770518422945,0.42176659652806237,0.17688588050544102,0.051474835781254245,0.49507055291894114,0.0089842557497335,0.31123978432032456,0.21078645027935553,0.19105178459506827,0.0012515007084707478,0.013508803799862102,0.25183193762811046,0.20652751777329073,0.3156869919028392,0.17657116847882226,0.008705058325743122,0.0
