Specified Values,Specified Attribute Names,eventStatus,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
0,N65,"0,36.5625",1.0,0.8705382578717502,11,311.06950318431046,49983,6704,0.01,0.010734165379797277,32291,41391,True
"0, 0","M0P5, M0P6","71.19772643100195,87.1675",0.9712210561519934,0.737048028085547,5,358.5463541569058,49998,9201,0.02,0.005410478431799966,2182,4470,True
1,M0P5,"0,63.1175",1.0,0.7997858859021684,4,281.86957402750835,49983,13347,0.01,0.0034627047985177424,17695,18155,True
0,N65,"0,50.1875",1.0,0.80082020438068,8,311.06950318431046,49983,15092,0.01,0.007806665730761657,28541,33518,True
0,N54,"0,36.5625",1.0,0.8698857266190735,2,301.0209375711023,49983,19191,0.01,0.001875849809692489,23638,30384,True
0,N65,"0,42.88652033416547",1.0,0.8387854360434013,2,311.06950318431046,49983,21147,0.01,0.0019516664326904142,22400,27834,True
"1, 0","N21, N65","0.9024999999999999,36.5625",1.0,0.8966320838130999,2,308.738332546728,49951,24195,0.02,0.00186354937926152,5259,6541,True
"0, 1, 0, 1, 0","N3, N10, N52, N61, N94","82.55141286242167,92.28039250088415",1.0,0.8091448125475604,1,246.11379953925726,49437,25437,0.05,0.0007427733617911867,31,62,True
"0, 1","N16, M0P5","0,63.1175",1.0,0.8012705244631283,2,308.55011861562923,49983,26093,0.02,0.0018624133170447742,10587,10868,True
"1, 0","N2, N33","0,37.634695946532155",0.9966424535293832,0.7906229800750925,1,301.26032151706215,49951,27031,0.02,0.0009388279831104066,3673,5080,True
0,N87,"0,36.5625",1.0,0.8688582444189226,1,292.3640603746644,49983,27515,0.01,0.0009052667514338329,11517,14819,True
"0, 0","N44, N61","0,42.88652033416547",1.0,0.8461040141043048,1,315.2695054071596,49983,27720,0.02,0.0009514858201365013,12886,15954,True
1,M0P5,"0,50.1875",1.0,0.9278016702835882,1,281.86957402750835,49983,28463,0.01,0.0008656761996294356,10261,10829,True
"0, 0, 0","N95, M0P5, M0P6","71.19772643100195,87.1675",1.0,0.8071302062377147,2,381.78318663781783,49998,29336,0.03,0.002304449255142972,937,1717,True
0,N21,"0,25.902822694684037",1.0,0.8867161857702673,1,290.8687167906467,49983,30039,0.01,0.0008996255532207856,10444,14585,True
"0, 2, 2","N28, M0P5, M0P6","70.8325,89.0775",1.0,0.9251965915526532,3,328.9058355134073,49988,31167,0.03,0.0029779211114661325,243,342,True
"0, 1","N7, N23","81.90180536330581,87.1675",0.5229061923046148,0.24152492340066795,1,309.0731463575247,49998,31389,0.02,0.0009327851603166182,1026,7127,True
"0, 0, 0, 0, 0","N27, N33, N95, M0P5, M0P6","71.19772643100195,87.1675",1.0,0.8182527288215359,1,385.4848176470693,49914,31557,0.05,0.001163396178756342,695,1249,True
"1, 0, 0","N75, M0P5, M0P6","71.19772643100195,87.1675",1.0,0.845240328616679,2,379.51857323647835,49944,32041,0.03,0.0022907800134148015,633,1085,True
"1, 0","N23, N28","81.90180536330581,87.1675",0.5267890331507605,0.25477637514126034,1,288.36371379156196,49988,32189,0.02,0.0008702839317117816,1026,6895,True
0,N65,"0,16.0975",1.0,0.8672737730388081,5,311.06950318431046,49983,32348,0.01,0.0048791660817260355,10699,17319,True
"0, 0, 0","N16, N54, N65","0,48.725145513595585",1.0,0.8102127757746577,1,322.6248820037874,49983,32424,0.03,0.0009736844039304424,12765,15207,True
"0, 1","N11, N32","0,50.1875",1.0,0.8229834210236244,2,296.606594471289,49967,32664,0.02,0.001790322019466714,4104,4687,True
"0, 0","N4, N68","0,36.5625",1.0,0.8812980790856291,1,284.832635434916,49951,32714,0.02,0.0008768543776048993,4652,5867,True
"0, 0, 0","N1, N16, N96","0,50.1875",1.0,0.858966419727948,1,306.66553079152413,49983,32839,0.03,0.0009255189578070194,4427,5013,True
"1, 2","N96, M0P5","81.90180536330581,99.0",0.6914805609968638,0.5719743428148503,1,336.72966450250374,49988,33760,0.02,0.0010162527472477132,464,1172,True
"1, 0, 0, 0","N32, N61, N65, N95","0,50.1875",1.0,0.8230722024573596,1,308.2496991417355,49967,33931,0.04,0.0009302999902128924,4952,5731,True
0,N66,"0,42.88652033416547",1.0,0.8267332176654195,1,294.574889890206,49983,34163,0.01,0.000889029309500852,9667,12164,True
0,N54,"0,42.02724348807771",1.0,0.8450548222962755,3,301.0209375711023,49983,34177,0.01,0.0028137747145387335,12775,15975,True
0,N61,"0,42.88652033416547",1.0,0.8414826465140747,1,312.4002428348565,49983,34210,0.01,0.0009428263633702371,12134,15077,True
"1, 0, 0","N17, M0P5, M0P6","71.19772643100195,87.1675",1.0,0.8196702871618711,1,370.0402238656785,49971,34257,0.03,0.001116784274564139,391,705,True
"0, 2","N44, M0P5","79.07,90.07482482070454",0.6949763051083423,0.47085301602026636,1,322.14626618350246,49965,34604,0.02,0.0009722399376611597,597,2061,True
1,N46,"0,42.88652033416547",1.0,0.8522149940939686,2,295.2001960957603,49967,34667,0.01,0.0018319322020466451,6621,8109,True
"2, 0, 0","N6, N95, M0P6","71.19772643100195,87.1675",0.12444505106498546,0.11313934140835533,1,353.8239643138546,49998,34798,0.03,0.001067843477073158,138,680,True
0,N1,"0,36.5625",1.0,0.8743547395604493,1,317.5240231402565,49983,34834,0.01,0.0009582899721952854,10538,13487,True
0,N45,"0.9024999999999999,18.395",1.0,0.8647037608159792,1,290.1891922472875,49951,34923,0.01,0.0008757932398935049,7541,12003,True
"1, 0, 0","N29, N34, N45","0,59.41160049043395",0.9604968454842838,0.7136855660570472,1,278.4100502115286,49912,35071,0.03,0.0008402436975870771,3124,3496,True
"0, 1, 0","N7, N47, N65","0,50.1875",1.0,0.830228098921443,2,319.4621717880555,49983,35153,0.03,0.001928278639786536,5009,5751,True
"0, 1, 2","N1, N20, M0P5","79.07,87.1675",0.6464088247286119,0.5596126215179719,2,317.33016113428346,49988,35219,0.03,0.001915409790305999,307,995,True
"0, 0","N13, N31","0.9024999999999999,36.5625",1.0,0.8712300997150952,1,303.6867456729472,49983,35339,0.02,0.0009479816918356594,7035,9113,True
"0, 0, 0, 0","N0, N95, M0P5, M0P6","71.19772643100195,87.1675",1.0,0.8544406761719385,1,381.8466654476423,49998,35347,0.04,0.0011524162071134055,655,1103,True
0,N2,"0.9024999999999999,50.1875",1.0,0.8263190559687965,3,287.4230781528831,49983,35351,0.01,0.002602335258108123,9879,11459,True
"0, 1","N65, N94","0,48.725145513595585",0.9982122019669712,0.7938563245956829,1,317.4735362628734,49983,35420,0.02,0.0009581376024065519,5760,6937,True
"0, 0","M0P5, M0P6","63.95139104944798,87.1675",0.9793673466930524,0.7544778113513715,8,358.5463541569058,49998,35530,0.02,0.008656765490879946,915,1642,True
0,N90,"-2.005176272414164,25.902822694684037",1.0,0.8768143989142633,3,307.20555307853607,49983,35534,0.01,0.0028837692809818125,8805,12550,True
"2, 1, 0, 0","N23, N72, N95, M0P6","63.95139104944798,79.45783239671718",0.14384265908217486,0.14382072215506753,1,337.66645439692064,49849,35675,0.04,0.0010190799864373508,56,263,True
0,N73,"0,48.725145513595585",1.0,0.8269235929519632,1,295.90477477511547,49967,35787,0.01,0.000918624130943276,9161,10805,True
"0, 0, 1, 1, 0, 0","N13, N30, N51, N77, M0P5, M0P6","71.19772643100195,87.1675",1.0,0.9954745548471355,1,354.9459544621348,49435,35835,0.06,0.0010712296520698256,18,18,True
0,N85,"0,50.1875",0.9931859390986153,0.7834744024687038,1,295.94934573068474,49983,35864,0.01,0.0009187922753066174,8719,10397,True
1,N30,"0,42.88652033416547",0.9731802965975124,0.7412640684167509,1,313.9321132692918,49934,35879,0.01,0.0009474495602594166,2408,3262,True
"0, 2, 0, 1, 1","N16, N22, N28, N69, M0P5","-9.410708348576055,63.1175",1.0,0.8419196755713145,1,306.515477011236,49848,35947,0.05,0.0009250660943306814,513,538,True
0,N8,"-13.299518863992786,36.5625",1.0,0.8671561578413636,1,306.48205273257724,49983,35984,0.01,0.000958527014902707,7394,9577,True
2,M0P6,"79.07,89.0775",0.17949012257249053,0.2752484835703251,1,301.27374743460916,49988,36020,0.01,0.0009092465136874174,431,2168,True
0,N16,"0,48.725145513595585",0.9963033620862197,0.7899234565940247,1,322.28043064069055,49983,36215,0.01,0.0009726448470367617,11019,13321,True
"1, 0, 0","N19, N54, N65","-7.63951760069841,36.5625",1.0,0.8780463672108402,1,323.67983740068297,49951,36284,0.03,0.0009768682675258963,4971,6386,True
"0, 2, 2","N0, N10, M0P5","79.07,89.0775",0.309800516811871,0.5739612921091857,1,319.65238599607653,49988,36345,0.03,0.0009647133878529547,89,272,True
0,N65,"0,24.941158330530477",1.0,0.8844468415809283,1,311.06950318431046,49983,36425,0.01,0.0009758332163452071,9486,13494,True
"0, 0, 0","N4, N54, N65","0,36.5625",1.0,0.8735426859750923,1,310.3847745836144,49983,36471,0.03,0.0009732500710400387,9921,12732,True
"1, 0, 1, 2","N20, N32, N96, M0P5","81.90180536330581,99.0",1.0,0.9186813092848108,3,346.50998673614055,49988,36516,0.04,0.003137309507521157,123,179,True
0,N16,"0,63.1175",0.8454600323532461,0.41164874302892446,1,322.28043064069055,49983,36578,0.01,0.0009726448470367617,11355,12996,True
2,N76,"-7.63951760069841,42.88652033416547",1.0,0.8175408142683098,1,311.1728233867965,49951,36714,0.01,0.0009391220019265872,2175,2754,True
0,N54,"0,31.0975",1.0,0.8773140014097182,3,301.0209375711023,49983,36772,0.01,0.0028137747145387335,9964,13484,True
0,N8,"0,50.1875",1.0,0.8060247688642777,2,306.48205273257724,49983,36899,0.01,0.001917054029805414,7666,8986,True
"0, 0, 0, 2","N7, N75, N84, M0P5","81.90180536330581,87.1675",0.251407877881087,0.5474390192310457,1,347.326396142299,49725,36925,0.04,0.0010482337657798913,34,120,True
"0, 0, 0","N11, N21, M0P5","71.19772643100195,87.1675",0.4479309141526381,0.35609186278352434,1,311.21845210939694,49971,36936,0.03,0.0009392597097663898,514,1783,True
"0, 1, 1, 2","N17, N55, N81, M0P6","76.27000392788355,86.09619367955565",1.0,0.8084736102511905,3,345.19752632057373,49920,36980,0.04,0.0031254264602855277,84,173,True
"0, 0, 1, 1, 2","N17, N28, N81, N94, M0P6","71.5487390535158,86.09619367955565",0.3689357665979398,0.655875750049413,1,326.0758351626818,49780,36980,0.05,0.0009840994074126305,83,206,True
"0, 0, 1, 2","N17, N28, N55, M0P6","70.8325,86.09619367955565",0.3320867316612105,0.37155779696984637,1,338.6694282962322,49988,37120,0.04,0.0010221069694686768,118,409,True
